Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30,1990,31,31,2790,31.0,1.65,1.65,4.06,2.61,64.3,0.32,0.26,0.42,0.19,19.4,0.29,0.19,0.06,0.03,25.0
2,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,18,2002,1,1,90,1.0,1.00,1.00,6.00,5.00,83.3,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,
3,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,25,1995,1,1,90,1.0,1.00,1.00,9.00,8.00,88.9,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,
4,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,29,1990,19,18,1665,18.5,1.62,1.62,4.81,3.41,70.8,0.49,0.11,0.38,0.22,22.2,0.22,0.22,0.00,0.00,0.0
5,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,28,1992,32,32,2880,32.0,1.03,1.03,3.16,2.25,70.3,0.53,0.28,0.19,0.44,43.8,0.16,0.09,0.06,0.00,40.0
6,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,22,1998,3,3,270,3.0,3.33,3.33,6.67,3.67,55.0,0.33,0.00,0.67,0.00,0.0,0.33,0.33,0.00,0.00,0.0
7,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,31,1988,22,22,1876,20.8,2.40,2.40,6.68,4.52,66.2,0.14,0.14,0.77,0.14,13.6,0.19,0.14,0.05,0.00,25.0
8,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,27,1993,3,3,270,3.0,2.00,2.00,5.33,4.00,75.0,0.33,0.33,0.33,0.00,0.0,1.00,0.67,0.00,0.33,0.0
9,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,32,1987,34,34,3060,34.0,1.62,1.62,5.06,3.65,71.5,0.29,0.18,0.53,0.21,20.6,0.29,0.18,0.06,0.06,25.0
10,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,21,1999,4,4,360,4.0,1.75,1.75,5.00,3.25,65.0,0.25,0.00,0.75,0.25,25.0,0.00,0.00,0.00,0.00,
11,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,30,1990,33,33,2970,33.0,0.91,0.91,2.33,1.45,64.9,0.58,0.24,0.18,0.45,45.5,0.09,0.09,0.00,0.00,0.0
12,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,32,1987,16,16,1395,15.5,1.03,1.03,2.71,1.74,66.7,0.71,0.13,0.19,0.45,43.8,0.13,0.13,0.00,0.00,0.0
13,Timo Horn\Timo-Horn,de GER,GK,Köln,27,1993,34,34,3009,33.4,1.77,1.76,4.49,2.93,65.3,0.24,0.27,0.51,0.15,14.7,0.24,0.21,0.03,0.00,12.5
14,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,30,1989,29,29,2565,28.5,1.02,1.02,2.88,1.96,65.9,0.46,0.32,0.25,0.28,27.6,0.07,0.04,0.04,0.00,50.0
15,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,35,1984,8,8,720,8.0,1.63,1.62,3.88,2.50,61.3,0.25,0.13,0.63,0.13,12.5,0.25,0.13,0.13,0.00,50.0
16,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,27,1993,4,3,292,3.2,0.31,0.31,1.56,1.56,80.0,0.31,0.63,0.00,0.63,66.7,0.00,0.00,0.00,0.00,
17,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,22,1997,33,33,2970,33.0,1.64,1.64,4.70,3.18,68.4,0.33,0.27,0.39,0.15,15.2,0.21,0.15,0.06,0.00,28.6
18,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,35,1985,3,2,239,2.7,4.44,4.52,8.89,4.81,50.0,0.00,0.00,0.74,0.00,0.0,0.00,0.00,0.00,0.00,
19,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27,1993,2,1,135,1.5,2.00,2.00,5.33,3.33,62.5,0.00,0.67,0.00,0.00,0.0,0.00,0.00,0.00,0.00,
20,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33,1987,31,31,2768,30.8,1.36,1.37,3.99,2.73,69.1,0.36,0.39,0.26,0.16,16.1,0.16,0.13,0.03,0.00,20.0
21,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,22,1998,1,1,90,1.0,2.00,2.00,4.00,2.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,
22,Florian Müller\Florian-Muller,de GER,GK,Freiburg,22,1997,31,31,2790,31.0,1.48,1.48,4.90,3.55,71.1,0.35,0.26,0.39,0.19,19.4,0.10,0.06,0.03,0.00,33.3
23,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34,1986,33,33,2970,33.0,1.27,1.27,3.82,2.52,67.5,0.73,0.15,0.12,0.27,27.3,0.09,0.03,0.03,0.03,50.0
24,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,23,1996,1,1,90,1.0,2.00,2.00,4.00,2.00,50.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,
25,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,27,1992,34,34,3060,34.0,1.53,1.53,4.88,3.50,71.7,0.26,0.24,0.50,0.32,32.4,0.18,0.15,0.03,0.00,16.7
26,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34,34,3060,34.0,1.68,1.68,4.41,2.94,64.7,0.21,0.29,0.50,0.18,17.6,0.18,0.12,0.06,0.00,33.3
27,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35,1985,3,3,270,3.0,1.00,1.00,4.33,3.33,76.9,0.33,0.67,0.00,0.00,0.0,0.00,0.00,0.00,0.00,
28,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,32,1987,2,2,180,2.0,2.00,2.00,7.00,4.50,71.4,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,
29,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,27,1992,11,10,945,10.5,2.29,2.29,6.10,4.38,68.8,0.00,0.38,0.57,0.10,10.0,0.38,0.38,0.00,0.00,0.0
30,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,28,1992,26,26,2340,26.0,1.50,1.50,3.96,2.69,68.0,0.23,0.38,0.38,0.31,30.8,0.23,0.23,0.00,0.00,0.0
31,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,32,1988,4,3,344,3.8,1.58,1.57,5.00,3.16,68.4,0.26,0.26,0.26,0.26,33.3,0.00,0.00,0.00,0.00,
32,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,31,1988,31,31,2712,30.1,1.66,1.66,4.12,2.62,64.5,0.40,0.30,0.33,0.20,19.4,0.20,0.20,0.00,0.00,0.0
33,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,30,1990,33,33,2970,33.0,1.58,1.58,4.33,2.94,66.4,0.45,0.36,0.18,0.12,12.1,0.18,0.12,0.03,0.03,20.0
34,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,25,1994,31,31,2790,31.0,1.48,1.48,4.35,3.00,69.6,0.29,0.29,0.42,0.16,16.1,0.19,0.16,0.00,0.03,0.0
35,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,31,1989,1,0,51,0.6,1.67,1.76,3.33,3.33,100.0,0.00,0.00,0.00,0.00,,1.67,1.67,0.00,0.00,0.0